1,1,レベル1,1,喜ぶ・喜び,be pleased,bel,TRUE,word5
2,1,レベル1,1,喜ぶ・喜び,be pleased,yaj,FALSE,word5
3,1,レベル1,1,喜ぶ・喜び,be pleased,bej,FALSE,word5
4,1,レベル1,1,喜ぶ・喜び,be pleased,chal,FALSE,word5
5,1,レベル1,2,学ぶ,learn,ghoj,TRUE,word18
6,1,レベル1,2,学ぶ,learn,jup,FALSE,word18
7,1,レベル1,2,学ぶ,learn,ghojmoH,FALSE,word18
8,1,レベル1,2,学ぶ,learn,Dal,FALSE,word18
9,1,レベル1,3,女性,woman,IoD,FALSE,word6
10,1,レベル1,3,女性,woman,be’,TRUE,word6
11,1,レベル1,3,女性,woman,ghaj,FALSE,word6
12,1,レベル1,3,女性,woman,ba’,FALSE,word6
13,1,レベル1,4,男性,man,Dun,FALSE,word25
14,1,レベル1,4,男性,man,IoD,TRUE,word25
15,1,レベル1,4,男性,man,IaD,FALSE,word25
16,1,レベル1,4,男性,man,nuv,FALSE,word25
17,1,レベル1,5,読む,read,Do’,FALSE,word23
18,1,レベル1,5,読む,read,Har,FALSE,word23
19,1,レベル1,5,読む,read,IaD,TRUE,word23
20,1,レベル1,5,読む,read,chal,FALSE,word23
21,1,レベル1,6,聞く,listen,be’,FALSE,word24
22,1,レベル1,6,聞く,listen,Ij,TRUE,word24
23,1,レベル1,6,聞く,listen,nuv,FALSE,word24
24,1,レベル1,6,聞く,listen,pag,FALSE,word24
25,1,レベル1,7,面白い,be interesting,Daj,TRUE,word12
26,1,レベル1,7,面白い,be interesting,bang,FALSE,word12
27,1,レベル1,7,面白い,be interesting,Dal,FALSE,word12
28,1,レベル1,7,面白い,be interesting,chup,FALSE,word12
29,1,レベル1,8,幸運に,be fortunate,bIQ,FALSE,word15
30,1,レベル1,8,幸運に,be fortunate,chuch,FALSE,word15
31,1,レベル1,8,幸運に,be fortunate,ja’,FALSE,word15
32,1,レベル1,8,幸運に,be fortunate,Do’,TRUE,word15
33,1,レベル1,9,信じる,believe,Del,FALSE,word20
34,1,レベル1,9,信じる,believe,Har,TRUE,word20
35,1,レベル1,9,信じる,believe,ngong,FALSE,word20
36,1,レベル1,9,信じる,believe,pag,FALSE,word20
37,1,レベル1,10,宇宙,universe,DaH,FALSE,word30
38,1,レベル1,10,宇宙,universe,yaj,FALSE,word30
39,1,レベル1,10,宇宙,universe,u’,TRUE,word30
40,1,レベル1,10,宇宙,universe,bech,FALSE,word30
41,2,レベル2,11,彼,he,maH,FALSE,word33
42,2,レベル2,11,彼,he,ghaH,TRUE,word33
43,2,レベル2,11,彼,he,Sop,FALSE,word33
44,2,レベル2,11,彼,he,tlhIl,FALSE,word33
